configuration_id,LL_dynamic_02_alpha,LL_dynamic_02_beta,LL_dynamic_02_gamma,LL_dynamic_02_a,LL_dynamic_02_b,seed,time,bound,solved
338,1.7435,1.1054,0.7512,1.2472,0.7556,1129705271,22654,22590,0
339,0.5687,1.1932,0.8207,1.1477,0.7048,1010701430,23320,47912,1
339,0.5687,1.1932,0.8207,1.1477,0.7048,1673570350,20005,161935,1
339,0.5687,1.1932,0.8207,1.1477,0.7048,1511508930,20085,2e+05,1
339,0.5687,1.1932,0.8207,1.1477,0.7048,395064476,20852,24347,1
339,0.5687,1.1932,0.8207,1.1477,0.7048,2037563455,21605,184839,1
339,0.5687,1.1932,0.8207,1.1477,0.7048,1177142122,21607,115793,1
339,0.5687,1.1932,0.8207,1.1477,0.7048,976064959,22131,138262,1
339,0.5687,1.1932,0.8207,1.1477,0.7048,926352561,21651,69705,1
339,0.5687,1.1932,0.8207,1.1477,0.7048,1590962420,21632,93301,1
339,0.5687,1.1932,0.8207,1.1477,0.7048,1129705271,20919,22590,1
340,1.0989,1.3623,0.8,1.2238,0.7179,1129705271,22684,22590,0
341,1.2188,1.0107,1.1532,1.1071,0.6902,1129705271,22596,22590,0
342,0.9672,1.823,1.4361,1.1261,0.7011,1129705271,22681,22590,0
343,0.4537,1.0116,1.0061,1.0881,0.7346,1010701430,21545,46920,1
343,0.4537,1.0116,1.0061,1.0881,0.7346,1673570350,21231,160943,1
343,0.4537,1.0116,1.0061,1.0881,0.7346,1511508930,22037,2e+05,1
343,0.4537,1.0116,1.0061,1.0881,0.7346,395064476,20349,23355,1
343,0.4537,1.0116,1.0061,1.0881,0.7346,2037563455,20853,183847,1
343,0.4537,1.0116,1.0061,1.0881,0.7346,1177142122,20197,114801,1
343,0.4537,1.0116,1.0061,1.0881,0.7346,976064959,21133,137270,1
343,0.4537,1.0116,1.0061,1.0881,0.7346,926352561,21682,68713,1
343,0.4537,1.0116,1.0061,1.0881,0.7346,1590962420,20197,92309,1
343,0.4537,1.0116,1.0061,1.0881,0.7346,1129705271,21911,22590,1
344,0.6748,2.5021,2.3013,1.1199,0.6759,1129705271,22611,22590,0
345,0.8052,2.1098,2.2083,1.1747,0.6844,1129705271,22630,22590,0
346,1.061,1.7335,1.7974,1.1613,0.6717,1129705271,22607,22590,0
347,0.5985,1.5701,0.3796,1.0711,0.7935,1010701430,21854,47665,1
347,0.5985,1.5701,0.3796,1.0711,0.7935,1673570350,20625,161688,1
347,0.5985,1.5701,0.3796,1.0711,0.7935,1511508930,21867,2e+05,1
347,0.5985,1.5701,0.3796,1.0711,0.7935,395064476,21514,24100,1
347,0.5985,1.5701,0.3796,1.0711,0.7935,2037563455,21232,184592,1
347,0.5985,1.5701,0.3796,1.0711,0.7935,1177142122,22455,115546,1
