configuration_id,LL_dynamic_02_alpha,LL_dynamic_02_beta,LL_dynamic_02_gamma,LL_dynamic_02_a,LL_dynamic_02_b,seed,time,bound,solved
1472,0.3577,1.7218,1.1321,1.1601,0.7031,2054376405,35090,35043,0
1473,0.3595,1.7202,1.1309,1.1614,0.703,1673570350,34609,34526,0
1473,0.3595,1.7202,1.1309,1.1614,0.703,2054376405,34695,35043,1
1474,0.3534,1.7185,1.1376,1.1603,0.7033,1673570350,34340,34333,0
1474,0.3534,1.7185,1.1376,1.1603,0.7033,2054376405,34888,35043,1
1475,0.5131,1.5598,0.892,1.1392,0.6862,976964627,35261,105052,1
1475,0.5131,1.5598,0.892,1.1392,0.6862,1010701430,35973,208595,1
1475,0.5131,1.5598,0.892,1.1392,0.6862,1673570350,34441,36478,1
1475,0.5131,1.5598,0.892,1.1392,0.6862,2037563455,35749,243897,1
1475,0.5131,1.5598,0.892,1.1392,0.6862,1590962420,33130,174361,1
1475,0.5131,1.5598,0.892,1.1392,0.6862,1129705271,34417,140207,1
1475,0.5131,1.5598,0.892,1.1392,0.6862,1765008485,35148,72072,1
1475,0.5131,1.5598,0.892,1.1392,0.6862,2054376405,32743,35043,1
1476,0.3452,1.7266,1.1295,1.1606,0.7033,1665618392,34711,34699,0
1477,0.501,1.5628,0.8814,1.1404,0.6859,2037563455,35235,35880,1
1477,0.501,1.5628,0.8814,1.1404,0.6859,976064959,35673,35754,1
1477,0.501,1.5628,0.8814,1.1404,0.6859,1765008485,35123,35096,0
1477,0.501,1.5628,0.8814,1.1404,0.6859,1665618392,34121,34699,1
1478,0.3449,1.7324,1.125,1.1603,0.7019,1665618392,34795,34699,0
1479,0.39,1.6614,1.0556,1.1644,0.7103,1665618392,34712,34699,0
1480,0.3797,1.6663,1.0578,1.1616,0.7114,2037563455,35422,35373,0
1480,0.3797,1.6663,1.0578,1.1616,0.7114,1665618392,34628,34699,1
1481,0.5053,1.5538,0.8951,1.1377,0.6864,2037563455,34856,35843,1
1481,0.5053,1.5538,0.8951,1.1377,0.6864,976064959,36825,36680,0
1481,0.5053,1.5538,0.8951,1.1377,0.6864,1665618392,34158,34699,1
1482,0.3572,1.7291,1.1362,1.1591,0.7031,1665618392,34789,34699,0
1483,0.3835,1.6488,1.0765,1.1631,0.711,1665618392,34755,34699,0
1484,0.3679,1.7126,1.123,1.1607,0.7033,1665618392,34710,34699,0
1485,0.3784,1.6701,1.0694,1.1629,0.7109,1665618392,34722,34699,0
1486,0.3489,1.7134,1.117,1.162,0.7028,1665618392,34722,34699,0
1487,0.3475,1.7153,1.1475,1.1607,0.7027,1665618392,34737,34699,0
1488,0.3524,1.7289,1.1308,1.1618,0.7045,1665618392,34836,34699,0
1489,0.5179,1.5684,0.8878,1.1399,0.6868,1665618392,34736,34699,0
1490,0.3759,1.6632,1.0621,1.1653,0.7109,1665618392,34733,34699,0
1491,0.3805,1.66,1.0517,1.164,0.7098,976964627,34020,140795,1
1491,0.3805,1.66,1.0517,1.164,0.7098,1010701430,35491,209529,1
1491,0.3805,1.66,1.0517,1.164,0.7098,917007886,34887,250000,1
1491,0.3805,1.66,1.0517,1.164,0.7098,1673570350,35946,244546,1
1491,0.3805,1.66,1.0517,1.164,0.7098,1511508930,34274,72045,1
1491,0.3805,1.66,1.0517,1.164,0.7098,395064476,32902,175187,1
1491,0.3805,1.66,1.0517,1.164,0.7098,2037563455,36383,36554,1
1491,0.3805,1.66,1.0517,1.164,0.7098,976064959,34818,36950,1
1491,0.3805,1.66,1.0517,1.164,0.7098,926352561,34345,36317,1
1491,0.3805,1.66,1.0517,1.164,0.7098,633393695,35422,106528,1
1491,0.3805,1.66,1.0517,1.164,0.7098,1308842760,34059,37832,1
1491,0.3805,1.66,1.0517,1.164,0.7098,1765008485,34630,37282,1
1491,0.3805,1.66,1.0517,1.164,0.7098,1665618392,33447,34699,1
1492,0.5081,1.5617,0.8881,1.1415,0.6869,2037563455,34987,35449,1
1492,0.5081,1.5617,0.8881,1.1415,0.6869,976064959,35843,35709,0
1492,0.5081,1.5617,0.8881,1.1415,0.6869,1665618392,34552,34699,1
1493,0.5269,1.554,0.8931,1.1388,0.6869,1665618392,34770,34699,0
1494,0.3578,1.7225,1.1302,1.1593,0.7037,1665618392,34758,34699,0
1495,0.3518,1.7163,1.1313,1.1605,0.7035,1665618392,34714,34699,0
1496,0.3723,1.6496,1.0491,1.1629,0.7109,976964627,33980,173629,1
1496,0.3723,1.6496,1.0491,1.1629,0.7109,1010701430,34142,242363,1
1496,0.3723,1.6496,1.0491,1.1629,0.7109,917007886,33891,250000,1
1496,0.3723,1.6496,1.0491,1.1629,0.7109,1673570350,34358,250000,1
1496,0.3723,1.6496,1.0491,1.1629,0.7109,1511508930,34545,104879,1
1496,0.3723,1.6496,1.0491,1.1629,0.7109,395064476,35407,208021,1
1496,0.3723,1.6496,1.0491,1.1629,0.7109,2037563455,34459,35545,1
1496,0.3723,1.6496,1.0491,1.1629,0.7109,976064959,34056,35296,1
1496,0.3723,1.6496,1.0491,1.1629,0.7109,926352561,33347,34684,1
1496,0.3723,1.6496,1.0491,1.1629,0.7109,1590962420,36025,250000,1
1496,0.3723,1.6496,1.0491,1.1629,0.7109,633393695,35734,139362,1
1496,0.3723,1.6496,1.0491,1.1629,0.7109,1308842760,35024,70666,1
1496,0.3723,1.6496,1.0491,1.1629,0.7109,1765008485,35220,35751,1
1496,0.3723,1.6496,1.0491,1.1629,0.7109,1665618392,34456,34699,1
1497,0.3699,1.6584,1.0721,1.1642,0.7104,1665618392,34803,34699,0
1498,0.3667,1.7199,1.1431,1.1613,0.7027,2037563455,34872,35410,1
1498,0.3667,1.7199,1.1431,1.1613,0.7027,976064959,35322,35296,0
1498,0.3667,1.7199,1.1431,1.1613,0.7027,1665618392,34591,34699,1
1499,0.501,1.557,0.8992,1.1397,0.6864,1665618392,34740,34699,0
1500,0.5167,1.5486,0.8896,1.141,0.6856,1665618392,34780,34699,0
1501,0.3746,1.6652,1.0607,1.1632,0.711,1665618392,34816,34699,0
1502,0.3692,1.6505,1.0638,1.1635,0.7115,1665618392,34798,34699,0
1503,0.3872,1.6595,1.0648,1.1632,0.7101,2037563455,36015,35969,0
1503,0.3872,1.6595,1.0648,1.1632,0.7101,1665618392,34032,34699,1
1504,0.3663,1.656,1.056,1.1622,0.7108,1665618392,34779,34699,0
1505,0.5184,1.5593,0.8938,1.1371,0.686,1665618392,34733,34699,0
1506,0.3751,1.6462,1.063,1.1624,0.7114,1511508930,35426,177106,1
1506,0.3751,1.6462,1.063,1.1624,0.7114,2037563455,33241,35972,1
1506,0.3751,1.6462,1.063,1.1624,0.7114,976064959,35921,37655,1
1506,0.3751,1.6462,1.063,1.1624,0.7114,926352561,35806,106911,1
1506,0.3751,1.6462,1.063,1.1624,0.7114,633393695,35844,211589,1
1506,0.3751,1.6462,1.063,1.1624,0.7114,1308842760,34619,142893,1
1506,0.3751,1.6462,1.063,1.1624,0.7114,1765008485,35548,72751,1
1506,0.3751,1.6462,1.063,1.1624,0.7114,1665618392,34029,34699,1
1507,0.5079,1.5721,0.8779,1.1401,0.6871,1665618392,34803,34699,0
1508,0.3703,1.656,1.0638,1.1629,0.7111,976964627,37544,245952,1
1508,0.3703,1.656,1.0638,1.1629,0.7111,1511508930,35861,177202,1
1508,0.3703,1.656,1.0638,1.1629,0.7111,395064476,36152,250000,1
1508,0.3703,1.656,1.0638,1.1629,0.7111,2037563455,33266,36512,1
1508,0.3703,1.656,1.0638,1.1629,0.7111,976064959,33752,37751,1
1508,0.3703,1.656,1.0638,1.1629,0.7111,926352561,34324,107007,1
1508,0.3703,1.656,1.0638,1.1629,0.7111,633393695,35658,211685,1
1508,0.3703,1.656,1.0638,1.1629,0.7111,1308842760,34337,142989,1
1508,0.3703,1.656,1.0638,1.1629,0.7111,1765008485,35071,72847,1
1508,0.3703,1.656,1.0638,1.1629,0.7111,1665618392,33489,34699,1
1509,0.3768,1.6481,1.0636,1.1635,0.7105,1665618392,34807,34699,0
1510,0.3549,1.7217,1.1389,1.161,0.7034,1665618392,34753,34699,0
1511,0.3669,1.6475,1.0587,1.1655,0.7094,2037563455,35974,35876,0
1511,0.3669,1.6475,1.0587,1.1655,0.7094,1665618392,34125,34699,1
1512,0.5056,1.5583,0.8998,1.1381,0.6866,2037563455,35426,35305,0
1512,0.5056,1.5583,0.8998,1.1381,0.6866,1665618392,34696,34699,1
1513,0.3719,1.6557,1.0636,1.163,0.7119,2037563455,35284,35930,1
1513,0.3719,1.6557,1.0636,1.163,0.7119,976064959,36127,36057,0
1513,0.3719,1.6557,1.0636,1.163,0.7119,1665618392,34071,34699,1
1514,0.3563,1.7247,1.1429,1.1594,0.704,1665618392,34792,34699,0
1515,0.5087,1.5701,0.8828,1.1378,0.6854,1665618392,34737,34699,0
1516,0.3562,1.7254,1.1353,1.159,0.7036,976964627,36390,250000,1
1516,0.3562,1.7254,1.1353,1.159,0.7036,1511508930,34126,210546,1
